game_id,player_name,player_char,move
loserBot1669553914.57367,Bot,X,"(1, 1)"
loserBot1669553914.57367,loser,O,"(2, 0)"
loserBot1669553914.57367,Bot,X,"(0, 2)"
loserBot1669553914.57367,loser,O,"(0, 1)"
loserBot1669553914.57367,Bot,X,"(2, 2)"
loserBot1669553914.57367,loser,O,"(2, 1)"
loserBot1669553914.57367,Bot,X,"(1, 0)"
loserBot1669553914.57367,loser,O,"(1, 2)"
loserBot1669553990.586216,loser,O,"(0, 0)"
loserBot1669553990.586216,Bot,X,"(1, 1)"
loserBot1669553990.586216,loser,O,"(2, 2)"
loserBot1669553990.586216,Bot,X,"(2, 1)"
loserBot1669553990.586216,loser,O,"(2, 0)"
loserBot1669553990.586216,Bot,X,"(0, 2)"
loserBot1669553990.586216,loser,O,"(1, 2)"
loserBot1669553990.586216,Bot,X,"(1, 0)"
loserBot1669553990.586216,loser,O,"(0, 1)"
loserBot1669554012.220022,loser,O,"(0, 0)"
loserBot1669554012.220022,Bot,X,"(1, 1)"
loserBot1669554012.220022,loser,O,"(2, 1)"
loserBot1669554012.220022,Bot,X,"(0, 1)"
loserBot1669554012.220022,loser,O,"(0, 2)"
loserBot1669554012.220022,Bot,X,"(1, 2)"
loserBot1669554012.220022,loser,O,"(2, 2)"
loserBot1669554012.220022,Bot,X,"(1, 0)"
jeffloser1669554042.826044,jeff,O,"(1, 1)"
jeffloser1669554042.826044,loser,X,"(0, 0)"
jeffloser1669554042.826044,jeff,O,"(1, 2)"
jeffloser1669554042.826044,loser,X,"(0, 1)"
jeffloser1669554042.826044,jeff,O,"(1, 0)"
emilyloser1669554111.055961,emily,O,"(1, 1)"
emilyloser1669554111.055961,loser,X,"(0, 2)"
emilyloser1669554111.055961,emily,O,"(2, 1)"
emilyloser1669554111.055961,loser,X,"(1, 0)"
emilyloser1669554111.055961,emily,O,"(0, 1)"
emilyloser1669554167.366992,emily,O,"(1, 1)"
emilyloser1669554167.366992,loser,X,"(0, 0)"
emilyloser1669554167.366992,emily,O,"(2, 1)"
emilyloser1669554167.366992,loser,X,"(0, 2)"
emilyloser1669554167.366992,emily,O,"(0, 1)"
jeffloser1669554232.338672,jeff,O,"(1, 1)"
jeffloser1669554232.338672,loser,X,"(0, 2)"
jeffloser1669554232.338672,jeff,O,"(0, 0)"
jeffloser1669554232.338672,loser,X,"(1, 0)"
jeffloser1669554232.338672,jeff,O,"(2, 2)"
